miRNA	5637	SV_HUC_1	T24	UM_UC_3
hsa-miR-6845-3p	1	1	1	1.336928546
hsa-miR-6845-5p	1	1	1	1
hsa-miR-6846-3p	1	1	1	1
hsa-miR-6846-5p	1	1	1	1
hsa-miR-6847-3p	1	1	1	1
hsa-miR-6847-5p	1	1	1	1
hsa-miR-6849-3p	1	1	2.892387176	1
hsa-miR-6849-5p	1	1	1	1
hsa-miR-6850-3p	1	1	1	1
hsa-miR-6853-5p	1	1	1	1
hsa-miR-6855-3p	1	1	2.892387176	1.336928546
hsa-miR-6855-5p	1	1	1	1.336928546
hsa-miR-6864-3p	1	1	1	1
hsa-miR-6864-5p	1	1	1	1.336928546
hsa-miR-6865-3p	1	1	1	1
hsa-miR-6865-5p	1	1	1	1
hsa-miR-6867-3p	1	1	1	1
hsa-miR-6867-5p	1	1	1	1
hsa-miR-6872-3p	1	1	1	1
hsa-miR-6872-5p	1	1	1	1
hsa-miR-6873-3p	1	1	1	1
hsa-miR-6873-5p	1	1	1	1
hsa-miR-6875-3p	1	1	1	1
hsa-miR-6875-5p	1	1	1	1
hsa-miR-6879-3p	1	1	1	2.347714186
hsa-miR-6879-5p	1	1	2.892387176	1
hsa-miR-6880-3p	1	1	1	1.336928546
hsa-miR-6880-5p	1	1	2.892387176	1
hsa-miR-6881-3p	1	1	1	1
hsa-miR-6881-5p	1	1	1	1
hsa-miR-6882-3p	1	1	1	1
