bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-34-5928-01A	TCGA-34-5928-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5928-01A	TCGA-34-5928-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5928-01A	TCGA-34-5928-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5928-01A	TCGA-34-5928-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5928-10A	TCGA-34-5928-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-34-5928-10A	TCGA-34-5928-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5929-01A	TCGA-34-5929-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5929-01A	TCGA-34-5929-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-34-5929-01A	TCGA-34-5929-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-34-5929-01A	TCGA-34-5929-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-34-5929-11A	TCGA-34-5929-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-34-5929-11A	TCGA-34-5929-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5019-01A	TCGA-39-5019-01A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5019-01A	TCGA-39-5019-01A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-39-5019-01A	TCGA-39-5019-01A-01T	Total RNA	[Not Available]	[Not Available]
TCGA-39-5019-01A	TCGA-39-5019-01A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5019-11A	TCGA-39-5019-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5019-11A	TCGA-39-5019-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5022-01A	TCGA-39-5022-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5022-01A	TCGA-39-5022-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-39-5022-01A	TCGA-39-5022-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-39-5022-01A	TCGA-39-5022-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5022-11A	TCGA-39-5022-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5022-11A	TCGA-39-5022-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5024-01A	TCGA-39-5024-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5024-01A	TCGA-39-5024-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-39-5024-01A	TCGA-39-5024-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-39-5024-01A	TCGA-39-5024-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5024-11A	TCGA-39-5024-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5024-11A	TCGA-39-5024-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5027-01A	TCGA-39-5027-01A-21D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5027-01A	TCGA-39-5027-01A-21H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-39-5027-01A	TCGA-39-5027-01A-21R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-39-5027-01A	TCGA-39-5027-01A-21W	Repli-G	[Not Available]	[Not Available]
TCGA-39-5027-11A	TCGA-39-5027-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-39-5027-11A	TCGA-39-5027-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6143-01A	TCGA-43-6143-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-6143-01A	TCGA-43-6143-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-43-6143-01A	TCGA-43-6143-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-43-6143-01A	TCGA-43-6143-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6143-10A	TCGA-43-6143-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-43-6143-10A	TCGA-43-6143-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6143-11A	TCGA-43-6143-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-6143-11A	TCGA-43-6143-11A-01H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-43-6143-11A	TCGA-43-6143-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-43-6143-11A	TCGA-43-6143-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6647-01A	TCGA-43-6647-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-6647-01A	TCGA-43-6647-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-43-6647-01A	TCGA-43-6647-01A-11R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-43-6647-01A	TCGA-43-6647-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6647-10A	TCGA-43-6647-10A-01D	Chemical Lysis DNA Extraction	[Not Available]	[Not Available]
TCGA-43-6647-10A	TCGA-43-6647-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6647-11A	TCGA-43-6647-11A-01D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-6647-11A	TCGA-43-6647-11A-01R	Allprep RNA Extraction	[Not Available]	[Not Available]
TCGA-43-6647-11A	TCGA-43-6647-11A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-43-6770-01A	TCGA-43-6770-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-43-6770-01A	TCGA-43-6770-01A-11H	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
