mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
ABCB7|22	447.396646919741	442.9025621667	4.49408475304034	0.807893458563517	0.847176086509401	0.390842006616573	7.36320191590063e-22	0.382394687382379
ABCB8|11194	753.512012181331	738.977625190412	14.5343869909184	0.722810997022116	0.773942554494372	0.919146228791902	7.33605585050166e-13	0.066293678011369
ABCB9|23457	177.790101191362	156.391504045671	21.3985971456904	0.154414930520425	0.215329276541115	0.863524820268669	2.55310390245468e-29	0.00719591136371567
ABCC10|89845	763.670854827945	483.939571509506	279.73128331844	1.09228575745679e-10	1.12016577853873e-09	1.15637978563476e-06	5.32289809402515e-28	0.123990650711025
ABCC11|85320	6.33776878409314	2.78442567717682	3.55334310691633	0.0996689130426654	0.147907658379397	0.151769161025487	3.3022096110854e-40	1.79422045962069e-08
ABCC12|94160	0.783538726348265	0.598717341791476	0.184821384556789	0.435612919503996	0.512995804195052	0.207644853814802	5.08732573941904e-37	2.06183329976791e-08
ABCC13|150000	8.24309639895777	45.0686916901248	-36.825595291167	0.016042306076093	0.031617988485002	0.0386323662132512	1.96508311418991e-34	1.37454722446305e-08
ABCC1|4363	2205.05429699351	1843.78425272288	361.270044270628	0.0170337870348163	0.0333035051252011	0.0705726095914626	5.98051298222372e-21	0.614211211000539
ABCC2|1244	151.31850229843	234.068353616685	-82.749851318255	0.389085592623251	0.46797981731097	0.14831988627692	8.93914606450571e-33	6.77101858204225e-10
ABCC3|8714	3691.75036486714	2538.31566120246	1153.43470366468	0.00795850752655794	0.0173604035303614	0.00662690445376623	1.15217260666793e-15	0.00393730737704415
